JrId_pubmed,JournalTitle_pubmed,ISSN_Print_pubmed,Sourceid_SM,Title_SM,ISSN_SM,Type_SM,Subject_Category_SM,Matched_ISSN
194,Acta psychologica,0001-6918,29424,acta psychologica,"18736297, 00016918",journal,Developmental_and_Educational_Psychology,True
194,Acta psychologica,0001-6918,29424,acta psychologica,"18736297, 00016918",journal,Developmental_and_Educational_Psychology,True
965,Behaviour research and therapy,0005-7967,12127,behaviour research and therapy,"00057967, 1873622X",journal,Developmental_and_Educational_Psychology,True
965,Behaviour research and therapy,0005-7967,12127,behaviour research and therapy,"00057967, 1873622X",journal,Developmental_and_Educational_Psychology,True
965,Behaviour research and therapy,0005-7967,12127,behaviour research and therapy,"00057967, 1873622X",journal,Developmental_and_Educational_Psychology,True
969,Behavior modification,0145-4455,12102,behavior modification,"01454455, 15524167",journal,Developmental_and_Educational_Psychology,True
969,Behavior modification,0145-4455,12102,behavior modification,"01454455, 15524167",journal,Developmental_and_Educational_Psychology,True
1577,Brain and cognition,0278-2626,12163,brain and cognition,"10902147, 02782626",journal,Developmental_and_Educational_Psychology,True
1577,Brain and cognition,0278-2626,12163,brain and cognition,"10902147, 02782626",journal,Developmental_and_Educational_Psychology,True
1577,Brain and cognition,0278-2626,12163,brain and cognition,"10902147, 02782626",journal,Developmental_and_Educational_Psychology,True
2762,Clinical gerontologist,0731-7115,28652,clinical gerontologist,"15452301, 07317115",journal,Social_Psychology,True
2762,Clinical gerontologist,0731-7115,28652,clinical gerontologist,"15452301, 07317115",journal,Social_Psychology,True
3093,Cognitive psychology,0010-0285,12872,cognitive psychology,"10955623, 00100285",journal,Developmental_and_Educational_Psychology,True
3093,Cognitive psychology,0010-0285,12872,cognitive psychology,"10955623, 00100285",journal,Developmental_and_Educational_Psychology,True
3093,Cognitive psychology,0010-0285,12872,cognitive psychology,"10955623, 00100285",journal,Developmental_and_Educational_Psychology,True
3097,Cognition,0010-0277,12857,cognition,"18737838, 00100277",journal,Developmental_and_Educational_Psychology,True
3097,Cognition,0010-0277,12857,cognition,"18737838, 00100277",journal,Developmental_and_Educational_Psychology,True
3683,Family process,0014-7370,14152,family process,"15455300, 00147370",journal,Social_Psychology,True
3683,Family process,0014-7370,14152,family process,"15455300, 00147370",journal,Social_Psychology,True
4071,Death studies,0748-1187,13486,death studies,"10917683, 07481187",journal,Developmental_and_Educational_Psychology,True
4071,Death studies,0748-1187,13486,death studies,"10917683, 07481187",journal,Developmental_and_Educational_Psychology,True
4417,Journal of abnormal psychology,0021-843X,15370,journal of abnormal psychology,"1939843X, 0021843X",journal,Developmental_and_Educational_Psychology,True
4417,Journal of abnormal psychology,0021-843X,15370,journal of abnormal psychology,"1939843X, 0021843X",journal,Developmental_and_Educational_Psychology,True
4603,Journal of child language,0305-0009,25677,journal of child language,"03050009, 14697602",journal,Developmental_and_Educational_Psychology,True
4603,Journal of child language,0305-0009,25677,journal of child language,"03050009, 14697602",journal,Developmental_and_Educational_Psychology,True
4603,Journal of child language,0305-0009,25677,journal of child language,"03050009, 14697602",journal,Developmental_and_Educational_Psychology,True
4628,Journal of clinical and experimental neuropsychology,1380-3395,12736,journal of clinical and experimental neuropsychology,"1744411X, 13803395",journal,Clinical_Psychology,True
4628,Journal of clinical and experimental neuropsychology,1380-3395,12736,journal of clinical and experimental neuropsychology,"1744411X, 13803395",journal,Clinical_Psychology,True
4652,Journal of behavior therapy and experimental psychiatry,0005-7916,16249,journal of behavior therapy and experimental psychiatry,"18737943, 00057916",journal,Clinical_Psychology,True
4652,Journal of behavior therapy and experimental psychiatry,0005-7916,16249,journal of behavior therapy and experimental psychiatry,"18737943, 00057916",journal,Clinical_Psychology,True
4684,Journal of adolescence,0140-1971,25655,journal of adolescence,"10959254, 01401971",journal,Social_Psychology,True
4684,Journal of adolescence,0140-1971,25655,journal of adolescence,"10959254, 01401971",journal,Social_Psychology,True
4723,Journal of experimental child psychology,0022-0965,15472,journal of experimental child psychology,"00220965, 10960457",journal,Developmental_and_Educational_Psychology,True
4723,Journal of experimental child psychology,0022-0965,15472,journal of experimental child psychology,"00220965, 10960457",journal,Developmental_and_Educational_Psychology,True
4795,Journal of homosexuality,0091-8369,29972,journal of homosexuality,"15403602, 00918369",journal,Social_Psychology,True
4795,Journal of homosexuality,0091-8369,29972,journal of homosexuality,"15403602, 00918369",journal,Social_Psychology,True
5217,Journal of psycholinguistic research,0090-6905,22496,journal of psycholinguistic research,"15736555, 00906905",journal,Psychology_(miscellaneous),True
5217,Journal of psycholinguistic research,0090-6905,22496,journal of psycholinguistic research,"15736555, 00906905",journal,Psychology_(miscellaneous),True
6782,Psychological research,0340-0727,13466,psychological research,"14302772, 03400727",journal,Developmental_and_Educational_Psychology,True
