Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;4600151524;"Annual Review of Clinical Psychology";journal;"15485951, 15485943";7,348;Q1;145;19;63;2469;1409;63;18,96;129,95;United States;Northern America;"Annual Reviews Inc.";"2005-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
2;12854;"Clinical Psychology Review";journal;"18737811, 02727358";5,653;Q1;255;65;230;6664;3781;227;16,29;102,52;United States;Northern America;"Elsevier Inc.";"1981-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
3;21101159371;"Nature Reviews Psychology";journal;"27310574";5,549;Q1;17;127;125;9660;893;48;7,14;76,06;United States;Northern America;"Nature Publishing Group";"2022-2023";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology"
4;19181;"Psychotherapy and Psychosomatics";journal;"00333190, 14230348";5,104;Q1;117;46;177;1992;1693;105;10,27;43,30;Switzerland;Western Europe;"S. Karger AG";"1953-2023";"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
5;19400158464;"Health Psychology Review";journal;"17437202, 17437199";3,509;Q1;72;44;78;4587;904;70;13,30;104,25;United Kingdom;Western Europe;"Routledge";"2007, 2009-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
6;21100244230;"Alcohol research : current reviews";journal;"21694796, 21683492";3,402;Q1;113;5;48;612;535;44;5,86;122,40;United States;Northern America;"National Institute on Alcohol Abuse and Alcoholism (NIAAA)";"2012-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
7;12841;"Clinical Child and Family Psychology Review";journal;"15732827, 10964037";2,761;Q1;118;51;104;5425;885;103;6,56;106,37;United States;Northern America;"Kluwer Academic Publishers";"1998-2023";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology; Social Sciences"
8;15375;"Journal of Anxiety Disorders";journal;"08876185, 18737897";2,588;Q1;141;87;297;5538;2725;287;5,26;63,66;United Kingdom;Western Europe;"Elsevier Ltd";"1987-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
9;13487;"Depression and Anxiety";journal;"10914269, 15206394";2,549;Q1;160;36;309;2320;2189;299;5,63;64,44;United States;Northern America;"";"1996-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
10;19900193555;"Social Psychological and Personality Science";journal;"19485514, 19485506";2,489;Q1;92;133;377;6481;2510;376;5,73;48,73;United States;Northern America;"Sage Periodicals Press";"2010-2023";"Clinical Psychology (Q1); Social Psychology (Q1)";"Psychology"
11;15439;"Journal of Consulting and Clinical Psychology";journal;"0022006X";2,386;Q1;268;75;257;3893;1724;254;4,68;51,91;United States;Northern America;"American Psychological Association";"1968-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
12;29561;"Journals of Gerontology - Series B Psychological Sciences and Social Sciences";journal;"10795014, 17585368";2,305;Q1;178;207;801;4882;4600;784;5,57;23,58;United States;Northern America;"Gerontological Society of America";"1995-2023";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Medicine; Nursing; Psychology; Social Sciences"
13;21100274406;"Clinical Psychological Science";journal;"21677034, 21677026";2,269;Q1;72;112;229;8841;1341;223;5,89;78,94;United States;Northern America;"SAGE Publications Inc.";"2013-2023";"Clinical Psychology (Q1)";"Psychology"
14;21100373947;"Journal of Behavioral Addictions";journal;"20625871, 20635303";2,188;Q1;81;83;287;4915;2050;286;6,33;59,22;Hungary;Eastern Europe;"Akademiai Kiado";"2012-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
