Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;21100863710;"Annual Review of Organizational Psychology and Organizational Behavior";journal;"23270608";7,706;Q1;75;21;52;2494;950;49;16,48;118,76;United States;Northern America;"Annual Reviews Inc.";"2014-2023";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
2;15388;"Journal of Applied Psychology";journal;"19391854, 00219010";6,453;Q1;340;83;373;9641;4659;369;10,44;116,16;United States;Northern America;"American Psychological Association";"1917-2023";"Applied Psychology (Q1)";"Psychology"
3;19181;"Psychotherapy and Psychosomatics";journal;"00333190, 14230348";5,104;Q1;117;46;177;1992;1693;105;10,27;43,30;Switzerland;Western Europe;"S. Karger AG";"1953-2023";"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
4;21149;"Leadership Quarterly";journal;"10489843";4,375;Q1;189;51;149;6494;1607;141;10,51;127,33;United States;Northern America;"Elsevier Inc.";"1990-2023";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
5;12817;"Personnel Psychology";journal;"00315826, 17446570";3,763;Q1;167;55;93;7139;695;92;6,39;129,80;United States;Northern America;"Wiley-Blackwell";"1948-2023";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
6;28181;"Journal of Consumer Psychology";journal;"15327663, 10577408";3,531;Q1;139;80;164;5489;925;157;5,60;68,61;United States;Northern America;"John Wiley &amp; Sons Inc.";"1992-2023";"Applied Psychology (Q1); Marketing (Q1)";"Business, Management and Accounting; Psychology"
7;24719;"Human Resource Management Review";journal;"10534822";3,302;Q1;121;51;126;6754;1726;124;10,52;132,43;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2023";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
8;30020;"Journal of Organizational Behavior";journal;"10991379, 08943796";3,187;Q1;217;81;209;8904;1807;201;7,54;109,93;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1981-1982, 1984-2023";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
9;22326;"Organizational Behavior and Human Decision Processes";journal;"07495978, 10959920";3,119;Q1;177;34;226;3540;1262;220;3,76;104,12;United States;Northern America;"Academic Press Inc.";"1985-2023";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
10;14704;"Technological Forecasting and Social Change";journal;"00401625";3,118;Q1;179;704;1964;64897;31548;1937;15,54;92,18;United States;Northern America;"Elsevier Inc.";"1970-2023";"Applied Psychology (Q1); Business and International Management (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Psychology"
11;21100405117;"Organizational Psychology Review";journal;"20413866, 20413874";2,978;Q1;42;26;41;2695;320;39;7,21;103,65;United States;Northern America;"SAGE Publications Inc.";"2012-2023";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
12;12006;"Journal of Vocational Behavior";journal;"10959084, 00018791";2,966;Q1;185;62;269;5579;3184;253;6,30;89,98;United States;Northern America;"Academic Press Inc.";"1971-2023";"Applied Psychology (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
13;13124;"Trauma, Violence, and Abuse";journal;"15248380, 15528324";2,778;Q1;111;283;270;21678;2866;269;9,70;76,60;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2023";"Applied Psychology (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
14;15422;"Work and Stress";journal;"02678373, 14645335";2,773;Q1;115;30;63;2198;550;57;8,00;73,27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2023";"Applied Psychology (Q1)";"Psychology"
